127.0.0.1 - - [12/Nov/2024:18:42:58 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:02 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:08 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:11 -0300] "GET /ProjetoTrilhaWeb2/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:13 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:43:13 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/js/jquery-ui.js HTTP/1.1" 200 518995
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/css/jquery-ui.css HTTP/1.1" 200 35959
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 1016
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:09 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:15 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:15 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:26 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:26 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:51:28 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:52:44 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:52:44 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:53:02 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:53:02 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:53:06 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:38 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:51 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:51 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:55 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 1037
0:0:0:0:0:0:0:1 - - [12/Nov/2024:18:56:55 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:20:23:16 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/marca/ HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [12/Nov/2024:20:23:16 -0300] "GET /ProjetoTrilhaWeb2/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:20:32:58 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:21:01:05 -0300] "GET /ProjetoTrilhaWeb2/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:21:01:05 -0300] "GET /ProjetoTrilhaWeb2/rest/produto/buscar?valorBusca= HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [12/Nov/2024:21:01:05 -0300] "GET /ProjetoTrilhaWeb2/rest/marca/buscar HTTP/1.1" 200 82
