0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:11:16 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:11:16 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:11:16 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:11:18 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:16:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:16:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:21:34 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:21:34 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:21:36 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:21 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/header.html HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/footer.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:28 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:28:29 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1092
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:31:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:31:27 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 2065
0:0:0:0:0:0:0:1 - - [24/Sep/2024:21:31:29 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 304 -
