127.0.0.1 - - [09/Oct/2024:18:45:03 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [09/Oct/2024:18:45:06 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [09/Oct/2024:18:45:13 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:18:45:13 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:18:51:35 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:18:51:35 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:00:21 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:00:21 -0300] "GET /projetoTrilhaWeb2/js/product.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:03:18 -0300] "GET /projetoTrilhaWeb2/js/product.js HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:11:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:11:11 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:33:43 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:19:33:43 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:15 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:15 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:16 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:16 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:17 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:18 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:18 -0300] "GET /js/product.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [09/Oct/2024:21:00:18 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/product/ HTTP/1.1" 200 1142
