127.0.0.1 - - [28/May/2024:18:53:50 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/May/2024:18:53:52 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [28/May/2024:18:53:52 -0300] "GET /site.js HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [28/May/2024:18:53:52 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/May/2024:18:55:32 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [28/May/2024:18:55:32 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 5052
0:0:0:0:0:0:0:1 - - [28/May/2024:18:55:32 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/menu.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [28/May/2024:18:55:32 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/cabecalho.html HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [28/May/2024:18:55:32 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/rodape.html HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [28/May/2024:18:56:46 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/May/2024:18:56:46 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/cabecalho.html HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [28/May/2024:18:56:46 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/menu.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [28/May/2024:18:56:46 -0300] "GET /ProjetoTrilhaWeb2/src/main/webapp/pages/site/general/rodape.html HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [28/May/2024:18:58:12 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [28/May/2024:18:58:12 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4956
0:0:0:0:0:0:0:1 - - [28/May/2024:18:58:12 -0300] "GET /ProjetoTrilhaWeb2/css/site.css HTTP/1.1" 200 2472
