127.0.0.1 - - [17/Sep/2024:19:00:34 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/ HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/css/site.css HTTP/1.1" 200 2472
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/js/site.js HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/img/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/img/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/cabecalho.html HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/menu.html HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/pages/site/general/rodape.html HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:00:34 -0300] "GET /ProjetoTrilhaWeb2/img/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:01:01 -0300] "GET /ProjetoTrilhaWe/pages/adminb2/ HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:01:44 -0300] "GET /ProjetoTrilhaWe/pages/admin HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:01:54 -0300] "GET /ProjetoTrilhaWe/pages/admin/ HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:02:10 -0300] "GET /ProjetoTrilhaWe2/pages/admin/ HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:03:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:12:28 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:12:28 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:12:28 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:15:51 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:15:51 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:15:51 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:17:53 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:17:53 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:17:53 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:08 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:08 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:08 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:09 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:10 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:11 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:12 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:12 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:20:12 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:21:53 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:21:53 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:21:53 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:23 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:23 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:23 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:51 -0300] "GET /ProjetoTrilhaWeb2/pages/site/produtos.html HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:56 -0300] "GET /ProjetoTrilhaWeb2/index.html HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:27:59 -0300] "GET /ProjetoTrilhaWeb2/pages/site/faleconosco.html HTTP/1.1" 200 2038
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/cabecalho.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/menu.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:30:27 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/rodape.html HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/cabecalho.html HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/rodape.html HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:05 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/general/menu.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:23 -0300] "GET /ProjetoTrilhaWeb2/pages/admin/ HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:23 -0300] "GET /ProjetoTrilhaWeb2/js/admin.js HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [17/Sep/2024:19:32:23 -0300] "GET /ProjetoTrilhaWeb2/css/admin.css HTTP/1.1" 200 17
